time, S,E, I, J, Q, R
0,190000000,0,2,0,0,0
1,152000000.0,38000000.0,1.5,0.5,0.0,0.0
2,121600000.0,64945454.54545455,3454546.5795454546,0.625,0.25,0.0
3,97280000.0,83361322.31404959,8495042.16606405,863636.9573863636,0.5446428571428572,0.017857142857142856
4,77824000.0,95239020.28549963,13949583.653098,2555579.020209194,431818.98443297774,0.056760204081632654
5,62259200.0,102145727.5322724,19120280.49305074,4765185.423379097,1678764.2813637909,30844.269933988206
6,49807360.0,105311592.30206582,23626185.599994637,7162662.834952233,3941445.2586702113,150756.0043171161
7,39845888.0,105699283.1836962,27293420.318365596,9487877.817474775,7241244.871955599,432287.80850784545
8,31876710.4,104059435.03972381,30079090.98274658,11567293.988328787,11467952.004124729,949519.5850761025
9,25501368.32,100974828.47974892,32019266.877034828,13303419.739851039,16432459.56942307,1768659.0139421546
10,20401094.656,96895572.28195356,33193980.019571476,14656526.589184226,21910422.32724694,2942406.126043802
11,16320875.7248,92167102.82388505,33704173.403947115,15626758.299484983,27673655.45560713,4507436.292275727
12,13056700.57984,87052450.43940096,33656957.582404435,16239422.50072927,33510344.929949112,6484125.967676236
13,10445360.463872,81749931.42451432,33156577.31765796,16533950.645965744,39236460.113888815,8877722.034101173
14,8356288.3710976,76407191.5696056,32299244.93592659,16556119.65239736,44700831.143022485,11680326.327950373
15,6685030.69687808,71132340.91931552,31170542.02645454,16352871.060180329,49785974.459005274,14873242.838166265
16,5348024.557502464,66002770.61148063,29844482.96705141,15969071.036703799,54406268.95630935,18429383.870952357
17,4278419.646001971,61072123.649210155,28383614.099059522,15445656.260114752,58504642.40635344,22315545.939260166
18,3422735.7168015772,56375796.33757326,26839721.81513193,14818731.654822256,62048567.50738557,26494448.96828541
19,2738188.573441262,51935271.08660874,25254863.75567379,14119296.28119411,65025892.79855487,30926489.504527237
20,2190550.8587530097,47761520.52069619,23662536.097356137,13373364.079515502,67440834.31068371,35571196.13299544
21,1752440.6870024079,43857674.28147441,22088858.483989485,12602316.064096786,69310313.89967833,40388398.58375856
22,1401952.5496019262,40221101.12055904,20553705.16130797,11823372.653045764,70660735.22460684,45339135.290878445
23,1121562.039681541,36845027.89224678,19071742.609213617,11050112.616849873,71525226.17794353,50386330.664064646
24,897249.6317452329,33719792.309978835,17653354.947114468,10292991.96072834,71941337.7593725,55495275.39106061
25,717799.7053961863,30833806.57178435,16305451.87487938,9559834.717142787,71949166.75692435,60633942.373872936
26,574239.7643169491,28174293.18815592,15032162.230867203,8856280.327291239,71589857.91857257,65773168.5707961
27,459391.81145355926,25727841.76027786,13835421.053891849,8186180.72136242,70904436.80232015,70886729.85069415
28,367513.4491628474,23480825.417088766,12715460.495898692,7551945.624154173,69932924.5342642,75951332.4794313
29,294010.7593302779,21419707.61445872,11671215.864386633,6954837.93605176,68713688.4510367,80946541.37473589
30,235208.60746422232,19531263.6195558,10700658.045058949,6395222.934122538,67282986.81541711,85854661.97838137
31,188166.88597137787,17802735.921089027,9801062.953753829,5872775.978326006,65674670.65280573,90660589.60805401
32,150533.50877710228,16221938.760002483,8969227.753596192,5386653.72760146,63920010.738196895,95351637.51182584
33,120426.80702168183,14777323.756303132,8201642.520651915,4935633.802199778,62047622.549269274,99917352.5645542
34,96341.44561734547,13458016.048952637,7494624.959243767,4518227.531262868,60083466.41113564,104349325.60378772
35,77073.15649387638,12253828.333625866,6844424.723883064,4132770.005442376,58050904.0045431,108641001.77601169
36,61658.5251951011,11155258.570958653,6247302.936878286,3777491.1836919542,55970795.86408264,112787494.91919334
37,49326.82015608088,10153475.860455979,5699591.61820041,3450571.3260655487,53861627.465637,116785408.90948495
38,39461.45612486471,9240297.964445742,5197736.973691761,3150183.567582877,51739654.023981415,120632668.01417331
39,31569.164899891766,8408163.167993829,4738329.817945706,2874526.0272143786,49619056.23463132,124328357.58731484
40,25255.331919913413,7650098.531156186,4318125.8332769,2621845.468093616,47512100.94576485,127872575.88978851
41,20204.265535930732,6959686.094707788,3934057.877790056,2390454.192366033,45429302.18368559,131266297.38591456
42,16163.412428744585,6331028.211932448,3583242.1442250684,2178741.5656305305,43379579.12389107,134511247.5418921
43,12930.729942995667,5758712.87515161,3262979.6274353876,1985181.3188715323,41370408.540714115,137609788.90788433
44,10344.583954396534,5237779.668853699,2970754.0728630507,1808335.566294613,39407970.018670306,140564818.0893639
45,8275.667163517228,4763686.79756697,2704227.342724897,1646856.301363069,37497282.80048402,143379673.0906975
46,6620.533730813782,4332279.494857222,2461232.943186125,1499484.9863627588,35642333.608273834,146058050.43358922
47,5296.426984651026,3939760.011161819,2239768.297831159,1365050.7289779107,33846195.12943565,148603931.40560877
48,4237.141587720821,3582659.2955440385,2037986.2243880802,1242467.4389467451,32111135.127536345,151021516.77199703
49,3389.713270176657,3257810.42426667,1854185.9678859727,1130730.2755703926,30438716.33789998,153315169.28110677
50,2711.7706161413253,2962323.7828964624,1686804.0599387223,1028911.6297566895,28829887.451549463,155489363.30524248
51,2169.41649291306,2693563.9749381943,1534405.2070355383,936156.8298630253,27285065.591317132,157548640.98035315
52,1735.5331943304482,2449128.405969668,1395673.3575437623,851679.7166903972,25804210.749725994,159497574.2368758
53,1388.4265554643584,2226827.475702201,1269403.0550641553,774758.1977311391,24386892.69737648,161340732.14757052
54,1110.7412443714868,2024666.299585821,1154491.1527255892,704729.8626316084,23032350.889286585,163082653.05452597
55,888.5929954971895,1840827.8751450754,1049928.937233812,640987.7194972015,21739547.89993906,164727820.9751893
56,710.8743963977515,1673657.6050946226,954794.6915749112,582976.0940570538,20507216.909692015,166280645.82518494
57,568.6995171182012,1521649.0886016637,868246.7100534218,530186.7199222547,19333903.748885397,167745447.03302008
58,454.95961369456097,1383431.0931776634,789516.7678674903,482155.0374744828,18218003.98392614,169126440.15794048
59,363.9676909556488,1257755.6220842511,717904.038916769,438456.71070411394,17157795.503811516,170427726.15679234
60,291.174152764519,1143486.995432965,652769.4493770541,398704.3650812492,16151467.03746275,171653282.97849315
61,232.9393222116152,1039591.8670423393,593530.4502539692,362544.5448848881,15197143.00304175,172806959.19545478
62,186.35145776929215,945130.103357478,539656.1892397804,329654.8850059364,14292905.060981212,173892469.40995777
63,149.0811662154337,859246.4551619885,490663.0604168788,299741.4898129133,13436810.713414093,174913391.20002785
64,119.26493297234697,781162.9572895963,446110.6094182944,272536.51001067634,12626909.264505258,175873163.39384314
65,95.41194637787757,710171.9959771365,405597.771362775,247795.90735991177,11861255.429188792,176775085.48416495
66,76.32955710230206,645629.987823036,368759.4190654573,225297.39652064964,11137920.852212405,177622318.0148213
67,61.06364568184165,586951.6184778168,335263.1995557326,204838.55302668916,10455003.7753147,178417883.7899793
68,48.85091654547332,533604.5931635153,304806.63771023735,186235.07640227774,9810637.067876995,179164669.77393037
69,39.080733236378656,485104.85487741395,277114.48675208853,169319.1976286982,9202994.81551549,179865429.564493
70,31.264586589102926,441012.2296715691,251936.30641655857,153938.22050237123,8630297.641793018,180522786.3370298
71,25.01166927128234,400926.4617096533,229044.25069165247,139953.18685532524,8090816.920487559,181139236.16858646
72,20.009335417025873,364483.60388808453,208231.0481741624,127237.65610057574,7582878.019594682,181717151.662907
73,16.0074683336207,331352.732674433,189308.15921135675,115676.59009382848,7104862.703388208,182258785.80716377
74,12.80597466689656,301232.958470424,172104.09510619327,105165.33484975342,6655210.805335964,182766276.00026295
75,10.244779733517248,273850.7052589552,156462.88573604714,95608.69120142503,6232421.2723797,183241648.20064408
76,8.195823786813799,248957.23555499688,142242.6829619404,86920.0670347243,5835052.669953291,183686821.1486712
77,6.556659029451039,226326.39876020906,129314.48818100046,79020.70425784725,5461723.227045419,184103610.62509644
78,5.245327223560831,205752.58293199594,117560.99329576935,71838.97417417374,5111110.491528241,184493733.71274254
79,4.1962617788486645,187048.85173089558,106875.5252383721,65309.73541102921,4781950.657791882,184858813.03356597
80,3.3570094230789316,170045.2499168063,97161.08499522413,59373.74901510763,4473037.621369405,185200380.93769395
81,2.6856075384631453,154587.26223534488,88329.47282976413,53977.145756359845,4183221.8086362868,185519883.6249346
82,2.148486030770516,140534.41188091214,80300.49209826354,49070.94108562096,3911408.823754732,185818685.18269435
83,1.718788824616413,127758.98595258083,73001.22469923511,44610.59356737636,3656557.949743633,186098071.52724826
84,1.3750310596931303,116144.87644192931,66365.37179284278,40555.60295849696,3417680.5358313476,186359254.23794425
85,1.1000248477545043,105586.52631705676,60332.65397571657,36869.14442745918,3193838.2990369285,186603374.2762179
86,0.8800198782036034,95987.97120229388,54848.26560151986,33517.73570765873,2984141.5641765916,186831505.58329198
87,0.7040159025628827,87261.96800606098,49862.378401348426,30470.93425420933,2787747.4631606643,187044658.55216172
88,0.5632127220503061,79329.20262687231,45329.6899833805,27701.06172744177,2603858.111490579,187243783.37095892
89,0.45057017764024493,72117.56957606469,41209.01318088741,25182.95335956601,2431718.77724783,187429773.2360654
90,0.36045614211219595,65561.51700136707,37462.90257439871,22893.729975004855,2270616.055552768,187603467.43444023
91,0.28836491368975675,59601.451183380304,34057.314840014216,20812.590631102103,2119876.0594293587,187765654.29555115
92,0.2306919309518054,54183.19511241938,30961.299873954325,18920.624025554607,1978862.6362142414,187917074.0140818
93,0.1845535447614443,49257.49624058563,28146.719915685688,17200.636981265885,1846975.6170688586,188058421.34523997
94,0.14764283580915544,44779.578947604976,25587.99414045387,15636.998469554364,1723649.1057688587,188190348.1750306
95,0.11811426864732436,40708.737662753505,23261.866418759037,14215.49776989065,1608349.8117344317,188313465.9682998
96,0.09449141491785948,37007.96695262964,21147.19414704687,12923.215489635084,1500575.4312097747,188428348.09770942
97,0.07559313193428759,33643.625218855384,19224.75624234239,11748.40628157926,1399853.0795824653,188535532.05708155
98,0.06047450554743007,30585.128953949465,17477.078565289103,10680.392201375227,1305737.777038793,188635521.56276602
99,0.048379604437944056,27804.674780309713,15888.275192507688,9709.465742009888,1217810.989065281,188728788.54684022
100,0.03870368355035524,25276.986748929718,14443.904101681648,8826.801669131866,1135679.2227173373,188815775.04605916
